key,القيمة
site_name,Flutter Buy & Sell Admin Panel
title_bar_seperator,|
added_date,تاريخ
upload_point_label,تحميل نقطة
success_item_report,تم إضافة تقرير العنصر بنجاح
signin,تسجيل الدخول
check_for_detail,تحقق لمزيد من التفاصيل!
success_delete,تم الحذف بنجاح
success_save_contact,شكرا لإتصالك بنا. سوف نتواصل معك قريبًا.
success_contact_delete,تم حذف رسالة الاتصال بنجاح
btn_search,بحث
btn_add_new,اضف جديد
btn_edit,تعديل
btn_save,حفظ
btn_save_gallery,احفظ وانتقل إلى المعرض
btn_cancel,إلغاء
btn_yes,نعم
btn_delete,حذف
btn_publish,ينشر
btn_replace_photo,استبدال الصور
btn_replace_icon,استبدال أيقونة
back_button,عودة
lbl_view,رأي
chat_history_save_success,تمت إضافة سجل الدردشة بنجاح
chat_history_update_success,تم تحديث سجل الدردشة بنجاح
btn_version,الإصدار
ver_info,معلومات الإصدار
ver_no_label,نسخة رقم
ver_msg_label,رسالة الإصدار
ver_title_label,عنوان الإصدار
ver_force_update,نسخة قوة التحديث؟
ver_need_data,نسخة تحتاج مسح البيانات؟
success_version_add,تم إضافة النسخة بنجاح
success_version_edit,تم تحديث الإصدار بنجاح
dashboard,لوحة القيادة
no,لا
del_cover_photo,حذف صورة الغلاف
youtube_url,يوتيوب URL
profile_img,صورة الملف الشخصي
success_upload,تم تحميل الصورة بنجاح
success_img_delete,تم حذف الصورة بنجاح
error_login,البريد الإلكتروني وكلمة المرور لا يتطابقان
err_access,آسف ، لا يمكنك الوصول إلى هذا الإجراء
err_model,حدث خطأ في قاعدة البيانات
err_sys,حدث خطأ في النظام
err_upload,حدث خطأ في التحميل
wrn_no_data,لا توجد بيانات حتى الآن
del_cover_photo_confirm,هل أنت متأكد أنك تريد حذف الصورة؟
upload_photo,حمل الصورة
no_record,لا مزيد من السجلات
invalid_api_key,مفتاح API غير صالح
invalid_user_id,هوية مستخدم غير صالحه
invalid_item_id,معرف العنصر غير صالح
role,وظيفة
user_name,اسم المستخدم
user_email,البريد الإلكتروني
user_password,كلمه السر
conf_password,تأكيد كلمة المرور
user_phone,هاتف
allowed_modules,الوحدات المسموح بها
user_ban,المنع
user_unban,رفع الحظر
user_info,معلومات المستخدم
user_list,قائمة المستخدمين
user_add,إضافة مستخدم جديد
user_edit,تحرير العضو
user_search,بحث المستخدم
err_dup_email,عنوان البريد الإلكتروني موجود بالفعل في النظام
err_dup_name,الاسم موجود بالفعل في النظام
err_user_name_blank,يرجى تقديم اسم المستخدم
err_user_name_len,يجب أن يكون طول اسم المستخدم أكبر من 4
err_user_email_blank,يرجى تقديم عنوان البريد الإلكتروني
err_user_email_invalid,يرجى تقديم عنوان بريد إلكتروني صالح
err_user_email_exist,عنوان البريد الإلكتروني موجود بالفعل في النظام
err_user_pass_blank,يرجى تقديم كلمة المرور
err_user_pass_len,يجب أن يكون طول كلمة المرور أكبر من 4
err_user_pass_conf_blank,يرجى تقديم تأكيد كلمة المرور
err_user_pass_conf_not_match,كلمة المرور وتأكيد كلمة المرور لا تتطابق
err_permission_blank,الرجاء تحديد الوحدات النمطية التي يمكنها الوصول إليها
success_user_add,تمت إضافة المستخدم بنجاح
success_user_edit,تم تحديث المستخدم بنجاح
err_user_banned,عذرًا ، لا يمكنك تسجيل الدخول لأن حسابك محظور.
cat_info,معلومات الفئة
cat_name,اسم التصنيف
cat_ordering,ترتيب الفئة
cat_img,صورة الغلاف الفئة
cat_icon,أيقونة الفئة
cat_search,بحث الفئة
cat_select,اختر اسم الفئة
cat_add,إضافة فئة
cat_edit,تحرير الفئة
success_cat_edit,تم تحديث الفئة بنجاح
success_cat_add,تمت إضافة الفئة بنجاح
success_cat_delete,تم حذف الفئة بنجاح
err_cat_name,يرجى تقديم اسم الفئة
err_cat_len,يجب أن يكون طول اسم الفئة أكبر من 4
err_cat_exist,اسم الفئة موجود بالفعل في النظام
delete_cat_label,حذف الفئة؟
cat_delete_confirm_message,هل تريد حذف كل الفئة؟
cat_yes_all_message,نعم الكل - سيتم حذف الفئة والعناصر من النظام.
cat_no_only_message,الفئة فقط - الفئة فقط ستحذف من النظام.
cat_yes_all_label,نعم جميعا
cat_no_only_label,فقط الفئة
subcat_info,معلومات الفئة الفرعية
subcat_name,اسم التصنيف الفرعي
subcat_ordering,ترتيب الفئة الفرعية
subcat_img,صورة الفئة الفرعية
subcat_icon,أيقونة الفئة الفرعية
subcat_search,بحث التصنيف الفرعي
subcat_add,إضافة فئة فرعية
subcat_edit,تحرير الفئة الفرعية
success_subcat_edit,تم تحديث الفئة الفرعية بنجاح
success_subcat_add,تمت إضافة الفئة الفرعية بنجاح
success_subcat_delete,تم حذف الفئة الفرعية بنجاح
err_subcat_name,يرجى تقديم اسم الفئة الفرعية
err_subcat_len,يجب أن يكون طول اسم التصنيف الفرعي أكبر من 4
err_subcat_exist,اسم التصنيف الفرعي موجود بالفعل في النظام
delete_subcat_label,حذف الفئة الفرعية؟
subcat_delete_confirm_message,هل أنت متأكد من حذف هذه الفئة الفرعية؟
subcat_yes_all_message,عند حذف هذه الفئة الفرعية ، سيتم حذف جميع المنتجات ذات الصلة أيضًا. هل ما زلت تريد حذفه؟
subcat_no_only_message,<b>الفئة الفرعية فقط</b> - سيتم حذف الفئة الفرعية فقط من النظام.
subcat_yes_all_label,نعم جميعا
subcat_no_only_label,الفئة الفرعية فقط
select_subcat,اختر الفئة الفرعية
select_cat,اختر الفئة
subcat_panel_title,قائمة الفئات الفرعية
Prd_search_cat,اختر اسم الفئة
delete_contact_label,حذف رسالة الاتصال؟
contact_delete_confirm_message,هل تريد حذف رسالة الاتصال؟
detail_contact_label,تفاصيل رسالة الاتصال
contact_info_label,معلومات رسالة الاتصال
about_contact_label,حول رسالة الاتصال
contact_info_label,معلومات الاتصال التفاصيل
contact_name,اسم شخص الاتصال
contact_email,اتصل شخص البريد الإلكتروني
contact_phone,شخص الاتصال الهاتف
btn_reset,إعادة تعيين
reset_password,إعادة تعيين كلمة المرور
contact_receive_message,لقد تلقيت رسالة جديدة للاتصال بنا.
nav_profile,الذهاب إلى الملف الشخصي
nav_backend,الذهاب إلى الخلفية
nav_logout,تسجيل خروج
total_label,مجموع :
device_label,جهاز
devices_label,الأجهزة
registered_label,تم تسجيله من أجل إعلام الدفع
noti_info,دفع الإخطار
noti_message_label,رسالة
noti_message_tooltips,يرجى تقديم رسالة لإشعار الدفع.
noti_send_btn,إرسال إعلام دفع
sorry_no_device,عذرًا ، لا يوجد جهاز مسجل لإشعار الدفع.
select_cat,اختر الفئة
success_noti_add,تم إضافة الإخطار بنجاح
success_noti_delete,تم حذف الإخطار بنجاح
delete_noti_label,حذف الإخطار؟
noti_yes_message,نعم ، سيتم حذف الإشعار من النظام.
push_message,رسالة دفع
noti_des_label,وصف
noti_img,صور الإعلام
noti_search,بحث نوتي
select_cat,اختر الفئة
noti_add,أضف نوتي
app_info_lable,حول المعلومات
about_title_label,عن العنوان
description_label,حول الوصف
about_email_label,حول البريد الإلكتروني
about_phone_label,عن الهاتف
about_website_label,حول رابط الموقع
about_seo_section,كبار المسئولين الاقتصاديين المعلومات
about_seo_title_label,كبار المسئولين الاقتصاديين العنوان
about_seo_desc_label,كبار المسئولين الاقتصاديين العنوان...
about_seo_keywords_label,كبار المسئولين الاقتصاديين الكلمات الرئيسية
about_social_section,المعلومات الاجتماعية
about_facebook_label,موقع التواصل الاجتماعي الفيسبوك
about_gplus_label,في + Google
about_instagram_label,إينستاجرام
about_youtube_label,موقع يوتيوب
about_pinterest_label,موقع Pinterest
about_twitter_label,تويتر
about_color_section,حول موضوع لون الموقع
about_theme,المواضيع المتاحة
success_about_edit,تم تحديث بنجاح
about_ads_analyt,جوجل تحليلية وإعداد الإعلانات
about_ads_client,عميل الإعلانات
about_ads_slot,شريحة الإعلانات
about_analyt_track_id,رقم تعريف المسار التحليلي
about_ads_on,تمكين جوجل ادسنس
about_analyt_on,تمكين Google Analytic
gdpr_label,محتوى الناتج المحلي الإجمالي
safety_tips_label,نصائح السلامة
about_nav_icon,أيقونة التنقل
about_fav_icon,الصوت العربي الحر أيقونة
about_backend_icon,للخلفية
total_users_count_label,المستخدمون المسجلون
total_cat_count_label,مجموع الفئات
total_contact_label,مجموع رسالة الاتصال
total_likes_count_label,إجمالي عدد الإعجابات
total_favs_count_label,مجموع عدد المفضلة
total_comments_count_label,مجموع عدد التعليقات
category_panel_title,الفئات الحديثة
recent_news_panel_title,أخبار حديثة
available_inside,الأخبار المتاحة داخل هذه الفئة.
contact_message,رسائل الاتصال
user_latest_members,أحدث المستخدمين المسجلين
success_contact,رسالتك بنجاح حفظ في النظام.
file_na,غير متوفر
required_platform,منصة المطلوبة
err_noti_register,عذرًا ، هناك مشكلة في تسجيل إعلام الدفع
success_noti_register,"تم تسجيل جهازك بنجاح في ميزة ""إعلام الدفع""."
success_noti_unregister,تم إلغاء تسجيل جهازك بنجاح من أجل إعلام الدفع.
err_noti_unregister,عذرًا ، هناك مشكلة في تسجيل الإشعارات بالدفع
success_touch_count,تم إدخال عدد اللمس بنجاح.
err_touch_count,مشكلة في اللمس العد!
err_user_register,آسف ، هناك مشكلة لتسجيل المستخدم.
err_user_not_exist,عذرا ، المستخدم غير موجود في النظام.
err_user_not_verify,عذرًا ، حسابك لم يتحقق بعد.
err_email_not_send,آسف ، هناك مشكلة في إرسال البريد الإلكتروني.
err_user_update,آسف ، هناك مشكلة في تحديث معلومات المستخدم.
err_user_password_update,عذرًا ، هناك مشكلة في تحديث كلمة مرور المستخدم.
success_profile_update,تم تحديث ملفك الشخصي بنجاح.
success_email_sent,تم إرسال البريد الإلكتروني بنجاح.
success_reset,تم إعادة ضبط كلمة المرور بنجاح
success_reset_email_sent,إعادة تعيين تم إرسال البريد الإلكتروني بنجاح
trending,تتجه الأخبار
editor_pick,محرر اختار الأخبار
list_product_nav,بند
prd_add,اضافة عنصر
att_add,إضافة سمة جديدة
add_att_detail,إضافة تفاصيل سمة جديدة
list_attribute_header,قائمة رأس السمة
item_name,اسم العنصر
att_name,اسم السمة
Prd_search_subcat,حدد اسم التصنيف الفرعي
Prd_search_dis,اختر نوع الخصم
product_gallery,معرض الصور
prd_info,معلومات البند
rec_prd_info,العناصر المضافة حديثا
att_info,معلومات السمة
prd_desc,وصف السلعة
prd_high_info,تسليط الضوء على المعلومات البند
prd_edit,تعديل عنصر
prd_code,رمز الصنف
success_prd_add,تمت إضافة العنصر بنجاح
success_prd_edit,تم تحديث العنصر بنجاح
success_upload,تم تحديث الصورة بنجاح
delete_prd_label,حذف البند؟
prd_yes_all_message,عند حذف هذا العنصر ، سيتم حذف جميع الفئات الفرعية والفئات ذات الصلة أيضًا. هل ما زلت تريد حذفه؟
success_prd_delete,تم حذف العنصر بنجاح
prd_search,بحث البند
err_item_name,يرجى تقديم اسم العنصر
err_item_len,يجب أن يكون طول اسم العنصر أكبر من 4
err_item_exist,اسم العنصر موجود بالفعل في النظام
item_gallery,معرض الصور
condition_of_item,حالة السلعة
item_description_label,وصف
deal_option_id_label,خيار الصفقة
meet_up_label,نلتقي
mailing_or_delivery_label,البريد أو التسليم
brand_label,علامة تجارية
price,السعر
itm_title_label,عنوان
itm_business_mode,هو متجر؟
itm_show_shop,(إذا كان بإمكان المستخدم إظهار أكثر من طلب)
itm_is_sold_out,هل بيعت؟
location_info_label,معلومات الموقع
itm_address_label,عنوان
itm_lat_label,خط العرض
itm_lng_label,خط الطول
itm_select_price,اختر نوع السعر
itm_select_type,اختر نوع البند
itm_select_currency,اختر عملة البند
status_label,الحالة
select_status_label,اختر الحالة
itm_select_location,حدد موقع العنصر
find_location_label,اكتب وابحث عن الموقع من Google API
itm_select_condition_of_item,حدد حالة العنصر
itm_select_deal_option,حدد خيار الصفقة
api_info,معلومات إعداد API
api_title,إعداد API
api_title_tooltips,اسم API
api_order_by,ترتيب حسب
btn_save,حفظ
btn_cancel,إلغاء
success_api_edit,تم التحديث بنجاح
about_gallery,صالة عرض
categories_label,التصنيفات
messages_label,رسائل
total_label,مجموع
view_all_label,عرض الكل
divider_label,:
users_label,المستخدمين
app_setting,معلومات إعداد التطبيق
apikey_info,ابي المعلومات الرئيسية
key_label,مفتاح
success_apikey_edit,تم تحديث Api Key بنجاح
success_apikey_add,تمت إضافة Api Key بنجاح
earn_point_label,كسب نقطة
currency_info,معلومات العملة
currency_add,أضف عملة
currency_symbol,رمز العملة
currency_short_form,نموذج العملة قصيرة
currency_add,أضف عملة
success_currency_edit,تم تحديث العملة بنجاح
success_currency_add,تمت إضافة العملة بنجاح
success_currency_delete,تم حذف العملة بنجاح
delete_currency_label,حذف العملة؟
currency_delete_confirm_message,هل تريد حذف العملة؟
currency_search,بحث العملة
currency_edit,تحرير العملة
err_currency_name,يرجى تقديم اسم العملة
err_currency_len,يجب أن يكون طول اسم العملة أكبر من 4
err_currency_exist,اسم العملة موجود بالفعل في النظام
color_color,اللون
select_type,اختر صنف
from_point,من النقطة:
to_point,أن نشير :
order_by,ترتيب حسب :
select_order,اختر طلبا
push_noti_sending_title,إرسال إعلام الدفع
no_device_label,لا يوجد أجهزة مسجلة حتى الآن.
delete_color_label,حذف اللون؟
color_delete_confirm_message,هل تريد حذف اللون؟
upload_icon,أيقونة الفئة
about_upload_icon,تحميل أيقونة
fav_upload_icon,الصوت العربي الحر أيقونة
sidebar_upload_icon,الشريط الجانبي الشعار
btn_upload,رفع
not_enough_point,آسف ، وجهة نظرك ليست كافية.
view_count,عرض التهم
earn_point_label,حصل نقطة
download_count,تحميل العد
rating_count,تقدير عدد
terms_label,الأحكام والشروط
about_img,حول صورة الغلاف
select_csv_file,حدد ملف CSV
something_wrong_upload,هناك خطأ ما في بياناتك التي تم تحميلها.
pls_upload_csv,يرجى تحميل ملف CSV.
sample_csv_format,نموذج CSV هنا: https://www.dropbox.com/s/oheyivxfgdlk129/sample.csv?dl=0
csv_upload_instruction,"يرجى اتباع هذه الخطوات على النحو التالي: <br>
1. قم بتحميل الصور إلى مجلد التحميلات يدويًا عبر <FTP. <b
2. تحميل الصور المصغرة لتحميل / مجلد المصغرة يدوياً عبر <FTP<br
3. ثم يعد مثل تنسيق CSV. عينة هنا: <http://bit.ly/2UvCjRp <br
4. تحتاج إلى اتباع هذه القواعد. هنا : <http://bit.ly/2T1Tjgp <br
5. يمكنك استخدام ورقة Google لإنشاء وتصدير كفاصل فاصلة <br>
6. الموصى به هو حوالي 100 سجل في ملف CSV واحد."
noti_sent_fail,فشل في إرسال إشعار الدفع
noti_sent_success,تم إرسال إشعار الدفع بنجاح إلى
reject_message_2,)
approve_message_2,)
uploaded_user,تم تحميل المستخدم
delete_user_label,حذف المستخدم المسجل؟
user_delete_confirm_message,هل تريد حذف جميع المستخدمين المسجلين؟
user_yes_all_label,نعم جميعا
user_no_only_label,المستخدم الوحيد
success_user_delete,تم حذف المستخدم المسجل بنجاح
credit,ائتمان
price_info,معلومات السعر
price_name,اسم السعر
price_edit,تحرير السعر
price_add,أضف السعر
price_search,سعر البحث
delete_price_label,حذف السعر؟
price_delete_confirm_message,هل تريد حذف السعر؟
err_price_name,يرجى تقديم اسم السعر
err_price_len,يجب أن يكون طول اسم السعر أكبر من 4
err_price_exist,اسم السعر موجود بالفعل في النظام
success_price_edit,تم تحديث السعر بنجاح
success_price_add,تمت إضافة السعر بنجاح
success_price_delete,تم حذف السعر بنجاح
type_info,نوع البند المعلومات
type_name,أكتب اسم
type_edit,تحرير النوع
type_add,إضافة نوع
type_search,نوع البحث
delete_type_label,حذف النوع؟
type_delete_confirm_message,هل تريد حذف النوع؟
err_type_name,يرجى تقديم اسم النوع
err_type_len,يجب أن يكون طول اسم النوع أكبر من 4
err_type_exist,نوع الاسم موجود بالفعل في النظام
success_type_edit,تم تحديث النوع بنجاح
success_type_add,تمت إضافة النوع بنجاح
success_type_delete,تم حذف النوع بنجاح
location_info,معلومات الموقع البند
location_name,اسم الموقع
location_edit,عدل الموقع
location_add,أضف الموقع
location_search,بحث الموقع
delete_location_label,حذف الموقع؟
location_delete_confirm_message,هل تريد حذف الموقع؟
err_location_name,يرجى تقديم اسم الموقع
err_location_len,يجب أن يكون طول اسم الموقع أكبر من 4
err_location_exist,اسم الموقع موجود بالفعل في النظام
success_location_edit,تم تحديث الموقع بنجاح
success_location_add,تمت إضافة الموقع بنجاح
success_location_delete,تم حذف الموقع بنجاح
blog_add,أضف مدونة
blog_info,معلومات المدونة
blog_name,اسم المدونة
blog_desc,وصف المدونة
blog_edit,تحرير المدونات
success_blog_add,تمت إضافة المدونات بنجاح
success_blog_edit,تم تحديث المدونات بنجاح
err_dup_name,الاسم موجود بالفعل في النظام
err_blog_exist,اسم المدونة موجود بالفعل في النظام
delete_blog_label,حذف المدونة؟
blog_delete_confirm_message,هل أنت متأكد من حذف هذه المدونة؟
success_blog_delete,تم حذف المدونات بنجاح
err_blog_len,يجب أن يكون طول اسم المدونة أكبر من 4
err_blog_name,يرجى تقديم اسم المدونة
blog_search,بحث بلوق
blog_gallery,معرض المدونة
btn_disable,تعطيل
report_edit,تحرير تقرير البند
total_category_count_label,مجموع الفئات
total_sub_cat_count_label,مجموع الفئات الفرعية
total_blog_count_label,مجموع المدونات
total_contact_count_label,مجموع رسالة الاتصال
popular_item,البند الأكثر شعبية
item_report,ذكرت البند
items_label,العناصر المضافة حديثا
item_img,صورة البند
popular_item_info,البند شعبية المعلومات
popular_item_view,عرض العنصر الشعبي
app_setting_lable,معلومات إعداد التطبيق
app_lat_label,خط العرض
app_lng_label,خط الطول
location_info_label,معلومات الموقع
err_chat_history_not_exist,لم يتم العثور على سجل في سجل الدردشة
accept_update_success,قبول تم تحديث العرض بنجاح
err_accept_update,آسف ، هناك مشكلة في قبول العرض
count_update_success,تم إعادة تعيين العد بنجاح
err_count_update,آسف ، هناك مشكلة في إعادة تعيين العد
price_update_success,تم تحديث السعر بنجاح
err_price_update,آسف ، هناك مشكلة في السعر
err_accept_offer,نأسف ، لا يمكنك قبول العرض مرة أخرى.
overall_rating,تقييم
user_is_verify_do_forgot_password,تم التحقق من حسابك ، لذا يرجى نسيت كلمة المرور.
user_view,عرض المستخدم
user_address,عنوان
user_city,مدينة
about_me,عني
verify_type,تحقق من النوع
follower_count,عدد المتابعين
following_count,بعد العد
user_profile,صورة الملف الشخصي
email_verify,التحقق من البريد الإلكتروني
facebook_verify,فيسبوك تحقق
google_verify,التحقق من جوجل
phone_verify,تحقق الهاتف
condition_name,اسم الشرط
cond_search,حالة البحث
condition_add,إضافة شرط
condition_info,\
cond_edit,تحرير الشرط
delete_condition_label,حذف الشرط؟
condition_delete_confirm_message,هل تريد حذف الشروط؟
condition_yes_all_message,نعم الكل - سيتم حذف العناصر والعناصر من النظام.
success_condition_edit,تم تحديث الشرط بنجاح
success_condition_add,تمت إضافة الشرط بنجاح
success_condition_delete,تم حذف الشرط بنجاح
err_condition_name,يرجى تقديم اسم الشرط
err_condition_len,يجب أن يكون طول اسم الشرط أكبر من 4
err_condition_exist,اسم الشرط موجود بالفعل في النظام
option_name,اسم خيار الصفقة
cond_search,بحث صفقة الخيار
option_add,إضافة خيار الصفقة
option_info,معلومات صفقة الخيار البند
cond_edit,تحرير خيار الصفقة
delete_option_label,حذف خيار الصفقة؟
option_delete_confirm_message,هل تريد حذف خيارات الصفقة؟
option_yes_all_message,نعم الكل - سيتم حذف خيار الصفقة والعناصر من النظام.
success_option_edit,تم تحديث خيار الصفقة بنجاح
success_option_add,تمت إضافة خيار الصفقة بنجاح
success_option_delete,تم حذف خيار الصفقة بنجاح
err_option_name,يرجى تقديم اسم خيار الصفقة
err_option_len,يجب أن يكون طول اسم خيار الصفقة أكبر من 4
err_option_exist,اسم خيار الصفقة موجود بالفعل في النظام
lang_name,اسم اللغة
btn_active,نشيط
lang_string,سلسلة اللغة
lang_add,إضافة لغة
lang_info,معلومات اللغة
lang_symbol,رمز
lang_search,لغة البحث
lang_edit,تحرير اللغة
success_lang_edit,تم تحديث اللغة بنجاح
success_lang_add,تمت إضافة اللغة بنجاح
success_lang_delete,تم حذف اللغة بنجاح
err_lang_name,يرجى تقديم اسم اللغة
err_lang_len,يجب أن يكون طول اسم اللغة أكبر من 4
err_lang_exist,اسم اللغة موجود بالفعل في النظام
delete_lang_label,حذف اللغة؟
lang_delete_confirm_message,هل تريد حذف كل الخيط تحت تلك اللغة معًا؟
lang_yes_all_label,نعم جميعا
lang_no_only_label,اللغة فقط
lang_yes_all_message,نعم الكل - سيتم حذف اللغة والعناصر من النظام.
language_id,لغة
lang_string_key,مفتاح
lang_string_value,القيمة
lang_string_info,معلومات سلسلة اللغة
select_language,اللغة المختارة
btn_import,استيراد
csv_symbol_link,ملف CSV عينة هنا
lang_str_search,بحث لغة السلسلة
success_langstr_import,تم تحميل سلسلة اللغة بنجاح ملف CSV
lang_str_add,إضافة سلسلة اللغة
lang_str_edit,تحرير سلسلة اللغة
lang_active,نشيط
lang_deactive,إبطال
success_lang_str_edit,تم تحديث سلسلة اللغة بنجاح
success_lang_str_add,تمت إضافة سلسلة اللغة بنجاح
err_lang_str_name,يرجى تقديم اسم سلسلة اللغة
err_lang_str_len,يجب أن يكون طول سلسلة اللغة أكبر من 4
err_lang_str_exist,سلسلة اللغة موجودة بالفعل في النظام
lang_title,اللغة المحذوفة؟
lang_warning,لا يمكنك حذف اللغة النشطة.
btn_ok,حسنا
list_lang_label,اللغات
list_lang_str_label,سلاسل اللغة
err_lang_symbol,يرجى تقديم رمز اللغة
dashboard_label,لوحة القيادة
cat_module,التصنيفات
subcat_module,الفئات الفرعية
contact_module,اتصل بنا
system_user_module,مستخدمي النظام
register_user_module,المستخدمون المسجلون
about_module,حول وإعداد
noti_module,دفع الإخطار
analytic_module,تحليلات
export_database_module,قاعدة بيانات التصدير
app_setting_module,إعداد التطبيق
popular_item_module,العناصر الأكثر شعبية
item_module,العناصر
api_key_module,ابي كيز
api_setting_module,إعداد API
rating_module,معظم المستخدمين التقييم
version_module,الإصدار
